宁夏电信-组播1,#genre#
CCTV-4 欧洲,http://111.113.150.63:9999/rtp/239.121.5.252:4220
CCTV-4 美洲,http://111.113.150.63:9999/rtp/239.121.5.150:4220
CCTV-5 体育,http://111.113.150.63:9999/rtp/239.121.5.45:5520
CCTV-5+ 体育赛事,http://111.113.150.63:9999/rtp/239.121.5.205:8004
CCTV-6 电影,http://111.113.150.63:9999/rtp/239.121.5.37:5520
CCTV-7 国防军事,http://111.113.150.63:9999/rtp/239.121.5.186:8104
CCTV-8 电视剧,http://111.113.150.63:9999/rtp/239.121.5.30:5520
CCTV-9 纪录,http://111.113.150.63:9999/rtp/239.121.5.181:8112
CCTV-10 科教,http://111.113.150.63:9999/rtp/239.121.5.187:8116
CCTV-11 戏曲,http://111.113.150.63:9999/rtp/239.121.5.163:8120
CCTV-12 社会与法,http://111.113.150.63:9999/rtp/239.121.5.188:8124
CCTV-13 新闻,http://111.113.150.63:9999/rtp/239.121.5.160:8128
CCTV-14 少儿,http://111.113.150.63:9999/rtp/239.121.5.189:8132
CCTV-15 音乐,http://111.113.150.63:9999/rtp/239.121.5.165:8136
CCTV-16 奥林匹克,http://111.113.150.63:9999/rtp/239.121.5.7:5520
CCTV-17 农业农村,http://111.113.150.63:9999/rtp/239.121.5.202:8144
CETV2,http://111.113.150.63:9999/rtp/239.121.5.60:5140
CETV4,http://111.113.150.63:9999/rtp/239.121.5.222:5140
CGTN,http://111.113.150.63:9999/rtp/239.121.5.191:4220
CGTN俄语,http://111.113.150.63:9999/rtp/239.121.5.249:4220
CGTN法语,http://111.113.150.63:9999/rtp/239.121.5.250:4220
CGTN纪录,http://111.113.150.63:9999/rtp/239.121.5.204:4220
CGTN西语,http://111.113.150.63:9999/rtp/239.121.5.67:4220
CGTN阿语,http://111.113.150.63:9999/rtp/239.121.5.66:4220
IPTV少儿动画,http://111.113.150.63:9999/rtp/239.121.5.149:9000
IPTV法治,http://111.113.150.63:9999/rtp/239.121.5.218:1234
IPTV热播剧场,http://111.113.150.63:9999/rtp/239.121.5.211:9020
IPTV相声小品,http://111.113.150.63:9999/rtp/239.121.5.216:1234
IPTV经典电影,http://111.113.150.63:9999/rtp/239.121.5.212:9024
IPTV谍战剧场,http://111.113.150.63:9999/rtp/239.121.5.215:1234
IPTV野外,http://111.113.150.63:9999/rtp/239.121.5.217:1234
IPTV魅力时尚,http://111.113.150.63:9999/rtp/239.121.5.147:9012
三沙卫视,http://111.113.150.63:9999/rtp/239.121.5.17:4120
东南卫视,http://111.113.150.63:9999/rtp/239.121.5.18:8148
东方卫视,http://111.113.150.63:9999/rtp/239.121.5.178:8032
东方财经,http://111.113.150.63:9999/rtp/239.121.5.54:5140
中卫综合,http://111.113.150.63:9999/rtp/239.121.5.84:5520
中国天气,http://111.113.150.63:9999/rtp/239.121.5.112:5140
中国教育-1,http://111.113.150.63:9999/rtp/239.121.5.125:8152
乐游,http://111.113.150.63:9999/rtp/239.121.5.69:5140
云南卫视,http://111.113.150.63:9999/rtp/239.121.5.246:8108
光影,http://111.113.150.63:9999/rtp/239.121.5.146:4120
兵团卫视,http://111.113.150.63:9999/rtp/239.121.5.245:4120
内蒙古卫视,http://111.113.150.63:9999/rtp/239.121.5.49:8176
军事,http://111.113.150.63:9999/rtp/239.121.5.230:4120
军旅剧场,http://111.113.150.63:9999/rtp/239.121.5.224:4120
动作影院,http://111.113.150.63:9999/rtp/239.121.5.243:4120
动漫秀场,http://111.113.150.63:9999/rtp/239.121.5.74:5140
动画,http://111.113.150.63:9999/rtp/239.121.5.233:4120
北京卫视,http://111.113.150.63:9999/rtp/239.121.5.175:8024
古装剧场,http://111.113.150.63:9999/rtp/239.121.5.225:4120
台球,http://111.113.150.63:9999/rtp/239.121.5.236:4120
吉林卫视,http://111.113.150.63:9999/rtp/239.121.5.136:8172
哈哈炫动,http://111.113.150.63:9999/rtp/239.121.5.51:5140
喜剧影院,http://111.113.150.63:9999/rtp/239.121.5.242:4120
嘉佳卡通,http://111.113.150.63:9999/rtp/239.121.5.26:9268
四川卫视,http://111.113.150.63:9999/rtp/239.121.5.161:5140
国学,http://111.113.150.63:9999/rtp/239.121.5.152:4120
地理,http://111.113.150.63:9999/rtp/239.121.5.153:4120
城市剧场,http://111.113.150.63:9999/rtp/239.121.5.223:4120
墨宝,http://111.113.150.63:9999/rtp/239.121.5.148:4120
天津卫视,http://111.113.150.63:9999/rtp/239.121.5.156:5550
好学生,http://111.113.150.63:9999/rtp/239.121.5.234:4120
宁夏公共,http://111.113.150.63:9999/rtp/239.121.5.114:6520
宁夏卫视,http://111.113.150.63:9999/rtp/239.121.5.113:5520
宁夏教育,http://111.113.150.63:9999/rtp/239.121.5.120:5520
宁夏文旅,http://111.113.150.63:9999/rtp/239.121.5.118:5520
宁煤频道,http://111.113.150.63:9999/rtp/239.121.5.200:5120
安徽卫视,http://111.113.150.63:9999/rtp/239.121.5.182:8064
家庭影院,http://111.113.150.63:9999/rtp/239.121.5.151:4120
家有购物,http://111.113.150.63:9999/rtp/239.121.5.158:5520
导视,http://111.113.150.63:9999/rtp/239.121.5.89:5140
山东卫视,http://111.113.150.63:9999/rtp/239.121.5.179:8052
山西卫视,http://111.113.150.63:9999/rtp/239.121.5.248:8172
广东卫视,http://111.113.150.63:9999/rtp/239.121.5.180:8048
广西卫视,http://111.113.150.63:9999/rtp/239.121.5.139:8300
戏曲,http://111.113.150.63:9999/rtp/239.121.5.231:4120
新疆卫视,http://111.113.150.63:9999/rtp/239.121.5.203:8160
早教,http://111.113.150.63:9999/rtp/239.121.5.232:4120
星影,http://111.113.150.63:9999/rtp/239.121.5.244:4120
欢笑剧场,http://111.113.150.63:9999/rtp/239.121.5.251:5140
武侠剧场,http://111.113.150.63:9999/rtp/239.121.5.241:4120
武术,http://111.113.150.63:9999/rtp/239.121.5.238:4120
江苏卫视,http://111.113.150.63:9999/rtp/239.121.5.171:8028
江西卫视,http://111.113.150.63:9999/rtp/239.121.5.76:8164
河北卫视,http://111.113.150.63:9999/rtp/239.121.5.157:5550
河南卫视,http://111.113.150.63:9999/rtp/239.121.5.138:8128
法治天地,http://111.113.150.63:9999/rtp/239.121.5.70:5140
浙江卫视,http://111.113.150.63:9999/rtp/239.121.5.177:8036
海南卫视,http://111.113.150.63:9999/rtp/239.121.5.42:8304
深圳卫视,http://111.113.150.63:9999/rtp/239.121.5.174:8020
游戏风云,http://111.113.150.63:9999/rtp/239.121.5.75:5140
湖北卫视,http://111.113.150.63:9999/rtp/239.121.5.176:8044
湖南卫视,http://111.113.150.63:9999/rtp/239.121.5.172:8012
爱上4K试播,http://111.113.150.63:9999/rtp/239.121.5.135:2000
爱体 育,http://111.113.150.63:9999/rtp/239.121.5.116:4120
爱大剧,http://111.113.150.63:9999/rtp/239.121.5.208:8072
爱生活,http://111.113.150.63:9999/rtp/239.121.5.237:4120
爱电影,http://111.113.150.63:9999/rtp/239.121.5.207:9016
爱综艺,http://111.113.150.63:9999/rtp/239.121.5.206:9004
甘肃卫视,http://111.113.150.63:9999/rtp/239.121.5.83:8188
生活时尚,http://111.113.150.63:9999/rtp/239.121.5.68:5140
精选,http://111.113.150.63:9999/rtp/239.121.5.228:4120
纪实,http://111.113.150.63:9999/rtp/239.121.5.184:8060
美人,http://111.113.150.63:9999/rtp/239.121.5.227:4120
美妆,http://111.113.150.63:9999/rtp/239.121.5.154:4120
西藏卫视,http://111.113.150.63:9999/rtp/239.121.5.247:8164
解密,http://111.113.150.63:9999/rtp/239.121.5.229:4120
财富天下,http://111.113.150.63:9999/rtp/239.121.5.213:9136
贵州卫视,http://111.113.150.63:9999/rtp/239.121.5.111:2000
足球,http://111.113.150.63:9999/rtp/239.121.5.240:4120
辽宁卫视,http://111.113.150.63:9999/rtp/239.121.5.183:8056
都市剧场,http://111.113.150.63:9999/rtp/239.121.5.62:5140
重庆卫视,http://111.113.150.63:9999/rtp/239.121.5.72:8160
金色频道,http://111.113.150.63:9999/rtp/239.121.5.78:5140
金鹰卡通,http://111.113.150.63:9999/rtp/239.121.5.33:9252
金鹰纪实,http://111.113.150.63:9999/rtp/239.121.5.126:8156
鉴赏,http://111.113.150.63:9999/rtp/239.121.5.235:4120
陕西卫视,http://111.113.150.63:9999/rtp/239.121.5.210:8140
青海卫视,http://111.113.150.63:9999/rtp/239.121.5.24:8184
音乐现场,http://111.113.150.63:9999/rtp/239.121.5.226:4120
高网,http://111.113.150.63:9999/rtp/239.121.5.239:4120
黑龙江卫视,http://111.113.150.63:9999/rtp/239.121.5.173:8016
直播室101,http://111.113.150.63:9999/rtp/239.121.5.64:5140
直播室102,http://111.113.150.63:9999/rtp/239.121.5.201:5140
直播室103,http://111.113.150.63:9999/rtp/239.121.5.34:5140
直播室104,http://111.113.150.63:9999/rtp/239.121.5.41:5140
直播室105,http://111.113.150.63:9999/rtp/239.121.5.31:5140
直播室106,http://111.113.150.63:9999/rtp/239.121.5.27:5140
直播室107,http://111.113.150.63:9999/rtp/239.121.5.4:5140
直播室108,http://111.113.150.63:9999/rtp/239.121.5.16:5140
直播室109,http://111.113.150.63:9999/rtp/239.121.5.11:5140
直播室110,http://111.113.150.63:9999/rtp/239.121.5.1:5140
直播室111,http://111.113.150.63:9999/rtp/239.121.5.29:5140

