北京电信-组播1,#genre#
IPTV爱生活,http://115.171.216.46:4000/rtp/225.1.8.246:4120
IPTV精选,http://115.171.216.46:4000/rtp/225.1.8.234:4120
IPTV经典电影,http://115.171.216.46:4000/rtp/225.1.8.203:9024
IPTV美人,http://115.171.216.46:4000/rtp/225.1.8.233:4120
IPTV美妆,http://115.171.216.46:4000/rtp/225.1.8.232:4120
IPTV解密,http://115.171.216.46:4000/rtp/225.1.8.235:4120
IPTV足球,http://115.171.216.46:4000/rtp/225.1.8.249:4120
IPTV鉴赏,http://115.171.216.46:4000/rtp/225.1.8.242:4120
IPTV音乐现场,http://115.171.216.46:4000/rtp/225.1.8.230:4120
IPTV高网,http://115.171.216.46:4000/rtp/225.1.8.248:4120
IPTV魅力时尚,http://115.171.216.46:4000/rtp/225.1.8.204:9012
IPTV星影,http://115.171.216.46:4000/rtp/225.1.8.254:4120
北京电信-组播3,#genre#
