云南电信-组播1,#genre#
昆明综合,http://182.247.36.5:4080/rtp/239.200.200.17:8500
昭通3,http://182.247.36.5:4080/rtp/239.200.200.164:8152
昭通大关,http://182.247.36.5:4080/rtp/239.200.200.208:8190
昭通威信,http://182.247.36.5:4080/rtp/239.200.200.226:8214
昭通盐津,http://182.247.36.5:4080/rtp/239.200.200.203:8198
昭通绥江县,http://182.247.36.5:4080/rtp/239.200.200.189:8206
普洱墨江,http://182.247.36.5:4080/rtp/239.200.201.200:8440
普洱孟连,http://182.247.36.5:4080/rtp/239.200.201.163:8460
普洱宁洱,http://182.247.36.5:4080/rtp/239.200.201.153:8436
普洱思茅区,http://182.247.36.5:4080/rtp/239.200.200.182:8432
普洱景东,http://182.247.36.5:4080/rtp/239.200.200.180:8444
普洱景谷县,http://182.247.36.5:4080/rtp/239.200.200.185:8448
普洱江城,http://182.247.36.5:4080/rtp/239.200.201.165:8456
普洱澜沧,http://182.247.36.5:4080/rtp/239.200.201.162:8464
普洱综合,http://182.247.36.5:4080/rtp/239.200.200.138:8804
普洱综合,http://182.247.36.5:4080/rtp/239.200.200.126:8800
普洱西盟,http://182.247.36.5:4080/rtp/239.200.201.149:8468
普洱镇沅,http://182.247.36.5:4080/rtp/239.200.201.160:8452
曲靖1,http://182.247.36.5:4080/rtp/239.200.201.52:8060
曲靖3,http://182.247.36.5:4080/rtp/239.200.201.50:8068
曲靖会泽,http://182.247.36.5:4080/rtp/239.200.201.84:8156
曲靖师宗,http://182.247.36.5:4080/rtp/239.200.201.110:8140
曲靖沾益,http://182.247.36.5:4080/rtp/239.200.201.188:8108
曲靖罗平县,http://182.247.36.5:4080/rtp/239.200.201.73:8124
曲靖马龙,http://182.247.36.5:4080/rtp/239.200.201.152:8164
未识别,http://182.247.36.5:4080/rtp/239.200.200.207:8896
楚雄双柏,http://182.247.36.5:4080/rtp/239.200.201.17:8734
楚雄大姚,http://182.247.36.5:4080/rtp/239.200.201.16:8766
楚雄姚安,http://182.247.36.5:4080/rtp/239.200.201.134:8324
楚雄武定,http://182.247.36.5:4080/rtp/239.200.201.117:8328
楚雄永仁县,http://182.247.36.5:4080/rtp/239.200.201.76:8814
楚雄禄丰,http://182.247.36.5:4080/rtp/239.200.200.163:8798
楚雄综合,http://182.247.36.5:4080/rtp/239.200.200.116:8708
清廉曲靖,http://182.247.36.5:4080/rtp/239.200.201.51:8064
澜湄国际,http://182.247.36.5:4080/rtp/239.200.200.33:8024
玉溪元江,http://182.247.36.5:4080/rtp/239.200.201.150:8540
玉溪华宁,http://182.247.36.5:4080/rtp/239.200.201.193:8572
玉溪峨山,http://182.247.36.5:4080/rtp/239.200.201.194:8564
玉溪新平,http://182.247.36.5:4080/rtp/239.200.201.198:8568
玉溪易门,http://182.247.36.5:4080/rtp/239.200.201.195:8576
玉溪江川,http://182.247.36.5:4080/rtp/239.200.201.197:8544
玉溪澄江,http://182.247.36.5:4080/rtp/239.200.201.196:8548
玉溪社会与法,http://182.247.36.5:4080/rtp/239.200.201.56:8184
玉溪红塔,http://182.247.36.5:4080/rtp/239.200.200.211:8540
玉溪综合,http://182.247.36.5:4080/rtp/239.200.201.57:8180
玉溪通海,http://182.247.36.5:4080/rtp/239.200.201.192:8552
电信宣传,http://182.247.36.5:4080/rtp/239.200.201.151:8604
电信宣传,http://182.247.36.5:4080/rtp/239.200.201.48:8820
电影1,http://182.247.36.5:4080/rtp/239.200.200.73:9024
电影2,http://182.247.36.5:4080/rtp/239.200.200.77:9016
电视剧1,http://182.247.36.5:4080/rtp/239.200.200.78:1234
电视剧2,http://182.247.36.5:4080/rtp/239.200.200.11:8072
电视剧3,http://182.247.36.5:4080/rtp/239.200.200.74:9012
电视剧4,http://182.247.36.5:4080/rtp/239.200.200.72:9020
红河1,http://182.247.36.5:4080/rtp/239.200.201.40:8516
红河个旧,http://182.247.36.5:4080/rtp/239.200.201.87:8248
红河建水,http://182.247.36.5:4080/rtp/239.200.200.158:8758
红河开远,http://182.247.36.5:4080/rtp/239.200.201.88:8252
红河弥勒,http://182.247.36.5:4080/rtp/239.200.201.132:8380
红河河口,http://182.247.36.5:4080/rtp/239.200.200.177:8408
红河泸西,http://182.247.36.5:4080/rtp/239.200.201.118:8392
红河红河县,http://182.247.36.5:4080/rtp/239.200.201.166:8400
红河蒙自,http://182.247.36.5:4080/rtp/239.200.201.148:8376
红河金平,http://182.247.36.5:4080/rtp/239.200.201.131:8404
自然传奇,http://182.247.36.5:4080/rtp/239.200.200.80:1234
西双版纳勐腊,http://182.247.36.5:4080/rtp/239.200.201.54:8040
迪庆综合,http://182.247.36.5:4080/rtp/239.200.200.118:8440
迪庆藏语,http://182.247.36.5:4080/rtp/239.200.200.149:8441
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.2:8080
CETV1,http://182.247.36.5:4080/rtp/239.200.201.145:8852
CETV2,http://182.247.36.5:4080/rtp/239.200.201.121:8780
书法,http://182.247.36.5:4080/rtp/239.200.201.133:8072
环球旅游,http://182.247.36.5:4080/rtp/239.200.201.175:8652
生态环境,http://182.247.36.5:4080/rtp/239.200.201.172:8648
新动漫,http://182.247.36.5:4080/rtp/239.200.201.32:4120
优优宝贝,http://182.247.36.5:4080/rtp/239.200.201.173:8644
重庆卫视,http://182.247.36.5:4080/rtp/239.200.200.49:8264
内蒙古卫视,http://182.247.36.5:4080/rtp/239.200.200.57:8296
宁夏卫视,http://182.247.36.5:4080/rtp/239.200.200.60:8308
新疆卫视,http://182.247.36.5:4080/rtp/239.200.200.62:8316
西藏卫视,http://182.247.36.5:4080/rtp/239.200.200.61:8312
三沙卫视,http://182.247.36.5:4080/rtp/239.200.201.136:8140
嘉佳卡通,http://182.247.36.5:4080/rtp/239.200.200.229:8372
BRTV卡酷少儿,http://182.247.36.5:4080/rtp/239.200.200.64:8324
优购物,http://182.247.36.5:4080/rtp/239.200.200.214:8728
家有购物,http://182.247.36.5:4080/rtp/239.200.200.228:9004
CCTN,http://182.247.36.5:4080/rtp/239.200.200.30:8500
中华特产,http://182.247.36.5:4080/rtp/239.200.201.155:8124
临沧云县,http://182.247.36.5:4080/rtp/239.200.201.10:8518
临沧凤庆,http://182.247.36.5:4080/rtp/239.200.201.23:8498
临沧沧源,http://182.247.36.5:4080/rtp/239.200.201.19:8534
央购物,http://182.247.36.5:4080/rtp/239.200.200.174:8772
收藏天下,http://182.247.36.5:4080/rtp/239.200.201.214:8700
昭通彝良,http://182.247.36.5:4080/rtp/239.200.200.175:8360
楚雄元谋,http://182.247.36.5:4080/rtp/239.200.201.59:8782

云南电信-组播2,#genre#

云南电信-组播3,#genre#

