山东电信-组播1,#genre#
海阳综合,http://123.168.210.194:6777/udp/239.21.2.64:5002
海阳综合,http://123.168.210.194:6777/udp/239.21.2.68:5002
海阳综艺,http://123.168.210.194:6777/udp/239.21.2.65:5002
淄博影视,http://123.168.210.194:6777/udp/239.21.1.182:5002$1080p
淄博文旅,http://123.168.210.194:6777/udp/239.21.1.83:5002$576p
淄博新闻综合,http://123.168.210.194:6777/udp/239.21.1.84:5002
淄博民生,http://123.168.210.194:6777/udp/239.21.1.109:5002
淄川新闻,http://123.168.210.194:6777/udp/239.21.1.160:5002$1080p
滨州新闻综合,http://123.168.210.194:6777/udp/239.21.1.118:5002
滨州民生,http://123.168.210.194:6777/udp/239.21.1.119:5002$576p
潍坊公共,http://123.168.210.194:6777/udp/239.21.2.88:5002
潍坊新闻综合,http://123.168.210.194:6777/udp/239.21.1.77:5002$1080p
潍坊科教文化,http://123.168.210.194:6777/udp/239.21.2.89:5002
潍坊经济生活,http://123.168.210.194:6777/udp/239.21.1.78:5002
潍坊高新区,http://123.168.210.194:6777/udp/239.21.2.131:5002
烟台公共,http://123.168.210.194:6777/udp/239.21.1.117:5002$576p
烟台影视,http://123.168.210.194:6777/udp/239.21.1.204:5002$1080p
烟台新闻综合,http://123.168.210.194:6777/udp/239.21.1.116:5002
烟台经济科教,http://123.168.210.194:6777/udp/239.21.1.205:5002$1080p
牟平生活,http://123.168.210.194:6777/udp/239.21.2.11:5002$1080p
牟平综合,http://123.168.210.194:6777/udp/239.21.2.10:5002$1080p
牟平综合,http://123.168.210.194:6777/udp/239.21.2.56:5002
禹城综合,http://123.168.210.194:6777/udp/239.21.1.241:5002$1080p
禹城综艺,http://123.168.210.194:6777/udp/239.21.1.242:5002$1080p
聊城民生,http://123.168.210.194:6777/udp/239.21.1.254:5002$1080p
聊城综合,http://123.168.210.194:6777/udp/239.21.1.253:5002$1080p
肥城综合,http://123.168.210.194:6777/udp/239.21.2.161:5002
胶州综合,http://123.168.210.194:6777/udp/239.21.2.60:5002
茌平综合,http://123.168.210.194:6777/udp/239.21.1.219:5002$1080p
荣成综合,http://123.168.210.194:6777/udp/239.21.1.227:5002$1080p
莒南综合,http://123.168.210.194:6777/udp/239.21.2.66:5002
莒县综合,http://123.168.210.194:6777/udp/239.21.1.236:5002$1080p
莘县综合,http://123.168.210.194:6777/udp/239.21.1.211:5002$1080p
莱西综合,http://123.168.210.194:6777/udp/239.21.1.247:5002$1080p
菏泽公共,http://123.168.210.194:6777/udp/239.21.2.18:5002$1080p
菏泽综合,http://123.168.210.194:6777/udp/239.21.1.103:5002
蒙阴综合,http://123.168.210.194:6777/udp/239.21.2.23:5002$1080p
诸城综合,http://123.168.210.194:6777/udp/239.21.1.217:5002$576p
邹城综合,http://123.168.210.194:6777/udp/239.21.1.185:5002$1080p
邹平综合,http://123.168.210.194:6777/udp/239.21.1.238:5002$1080p
郓城综合,http://123.168.210.194:6777/udp/239.21.1.251:5002$1080p
鄄城综合,http://123.168.210.194:6777/udp/239.21.2.141:5002
长岛综合,http://123.168.210.194:6777/udp/239.21.2.52:5002
长清综合,http://123.168.210.194:6777/udp/239.21.1.107:5002$576p
阳信综合,http://123.168.210.194:6777/udp/239.21.1.252:5002$1080p
陵城综合,http://123.168.210.194:6777/udp/239.21.2.24:5002$1080p
青岛影视,http://123.168.210.194:6777/udp/239.21.1.71:5002$576p
青岛教育,http://123.168.210.194:6777/udp/239.21.1.74:5002$576p
青岛文化娱乐,http://123.168.210.194:6777/udp/239.21.1.72:5002$576p
青岛新闻综合,http://123.168.210.194:6777/udp/239.21.1.69:5002
青岛经济生活,http://123.168.210.194:6777/udp/239.21.1.70:5002
青州文化旅游,http://123.168.210.194:6777/udp/239.21.1.231:5002$1080p
青州综合,http://123.168.210.194:6777/udp/239.21.1.232:5002$1080p
高密综合,http://123.168.210.194:6777/udp/239.21.2.59:5002
高青综合,http://123.168.210.194:6777/udp/239.21.2.140:5002
鱼台生活,http://123.168.210.194:6777/udp/239.21.2.135:5002
鱼台综合,http://123.168.210.194:6777/udp/239.21.2.134:5002
黄岛生活,http://123.168.210.194:6777/udp/239.21.2.58:5002
黄岛综合,http://123.168.210.194:6777/udp/239.21.2.57:5002
齐河综合,http://123.168.210.194:6777/udp/239.21.1.230:5002$1080p
龙口综合,http://123.168.210.194:6777/udp/239.21.2.146:5002$1080p

山东电信-组播2,#genre#


山东电信-组播3,#genre#


