湖北电信-组播1,#genre#
多彩文体,,http://nps.w2y.top:4022/rtp/239.69.2.5:11184

湖北电信-组播3,#genre#
BRTV卡酷少儿,http://mei.e5n.com:4022/rtp/239.69.1.193:10800
CCTV-1 综合,http://mei.e5n.com:4022/rtp/239.254.96..3:7992
CCTV-1 综合,http://mei.e5n.com:4022/rtp/239.254.96.96:8550
CCTV-2 财经,http://mei.e5n.com:4022/rtp/239.69.1.102:10250
CCTV-2 财经,http://mei.e5n.com:4022/rtp/239.254.96.154:8998
CCTV-3 综艺,http://mei.e5n.com:4022/rtp/239.69.1.122:10370
CCTV-4 中文国际,http://mei.e5n.com:4022/rtp/239.69.1.138:10466
CCTV-4 中文国际,http://mei.e5n.com:4022/rtp/239.254.96.155:9004
CCTV-4 欧洲,http://mei.e5n.com:4022/rtp/239.69.1.231:11028
CCTV-4 美洲,http://mei.e5n.com:4022/rtp/239.69.1.232:11034
CCTV-5 体育,http://mei.e5n.com:4022/rtp/239.69.1.123:10376
CCTV-5+ 体育赛事,http://mei.e5n.com:4022/rtp/239.254.96.234:9484
CCTV-5+ 体育赛事,http://mei.e5n.com:4022/rtp/239.254.96.99:8568
CCTV-6 电影,http://mei.e5n.com:4022/rtp/239.69.1.124:10382
CCTV-7 国防军事,http://mei.e5n.com:4022/rtp/239.69.1.103:10256
CCTV-7 国防军事,http://mei.e5n.com:4022/rtp/239.254.96.156:9130
CCTV-8 电视剧,http://mei.e5n.com:4022/rtp/239.69.1.125:10388
CCTV-9 纪录,http://mei.e5n.com:4022/rtp/239.69.1.104:10262
CCTV-9 纪录,http://mei.e5n.com:4022/rtp/239.254.96.157:9016
CCTV-10 科教,http://mei.e5n.com:4022/rtp/239.69.1.105:10268
CCTV-10 科教,http://mei.e5n.com:4022/rtp/239.254.96.158:9022
CCTV-11 戏曲,http://mei.e5n.com:4022/rtp/239.69.1.154:10560
CCTV-11 戏曲,http://mei.e5n.com:4022/rtp/239.254.96.159:9028
CCTV-11 戏曲,http://mei.e5n.com:4022/rtp/239.254.96.9:8028
CCTV-12 社会与法,http://mei.e5n.com:4022/rtp/239.69.1.106:10274
CCTV-12 社会与法,http://mei.e5n.com:4022/rtp/239.254.96.160:9034
CCTV-13 新闻,http://mei.e5n.com:4022/rtp/239.254.96.161:9040
CCTV-13 新闻,http://mei.e5n.com:4022/rtp/239.254.96.11:8040
CCTV-14 少儿,http://mei.e5n.com:4022/rtp/239.69.1.107:10280
CCTV-14 少儿,http://mei.e5n.com:4022/rtp/239.254.96.162:9046
CCTV-15 音乐,http://mei.e5n.com:4022/rtp/239.69.1.155:10566
CCTV-15 音乐,http://mei.e5n.com:4022/rtp/239.254.96.13:8052
CCTV-16 奥林匹克,http://mei.e5n.com:4022/rtp/239.69.1.247:11124
CCTV-16 奥林匹克,http://mei.e5n.com:4022/rtp/239.69.1.249:11136
CCTV-16 奥林匹克,http://mei.e5n.com:4022/rtp/239.69.1.12:9712
CCTV-16 奥林匹克,http://mei.e5n.com:4022/rtp/239.69.1.249:11136
CCTV-17 农业农村,http://mei.e5n.com:4022/rtp/239.69.1.152:10548
CCTV-17 农业农村,http://mei.e5n.com:4022/rtp/239.69.1.153:10554
CCTV4K,http://mei.e5n.com:4022/rtp/239.69.1.111:10304
CCTV世界地理,http://mei.e5n.com:4022/rtp/239.69.1.91:10186
CCTV兵器科技,http://mei.e5n.com:4022/rtp/239.69.1.79:10114
CCTV央视台球,http://mei.e5n.com:4022/rtp/239.69.1.98:10224
CCTV怀旧剧场,http://mei.e5n.com:4022/rtp/239.69.1.86:10156
CCTV怀旧剧场,http://mei.e5n.com:4022/rtp/239.69.1.89:10174
CCTV第一剧场,http://mei.e5n.com:4022/rtp/239.69.1.74:10084
CCTV风云足球,http://mei.e5n.com:4022/rtp/239.69.1.81:10126
CCTV风云音乐,http://mei.e5n.com:4022/rtp/239.69.1.90:10180
CCTV高尔夫网球,http://mei.e5n.com:4022/rtp/239.69.1.83:10138
CCTV电视指南,http://mei.e5n.com:4022/rtp/239.69.1.87:10162
CETV1,http://mei.e5n.com:4022/rtp/239.69.1.110:10298
CETV2,http://mei.e5n.com:4022/rtp/239.69.1.183:10734
CETV4,http://mei.e5n.com:4022/rtp/239.69.2.29:11328
CETV4,http://mei.e5n.com:4022/rtp/239.69.1.175:10686
