福建电信-组播1,#genre#
江西卫视,http://27.152.133.130:34567/rtp/239.61.5.69:1025
河北卫视,http://27.152.133.130:34567/rtp/239.61.2.57:8336
河北卫视,http://27.152.133.130:34567/rtp/239.61.4.59:1025
河南卫视,http://27.152.133.130:34567/rtp/239.61.2.59:8348
河南卫视,http://27.152.133.130:34567/rtp/239.61.4.61:1025
浙江卫视,http://27.152.133.130:34567/rtp/239.61.2.29:8168
浙江卫视,http://27.152.133.130:34567/rtp/239.61.4.29:1025
海南卫视,http://27.152.133.130:34567/rtp/239.61.2.42:8246
海南卫视,http://27.152.133.130:34567/rtp/239.61.5.190:1025
深圳卫视,http://27.152.133.130:34567/rtp/239.61.3.46:9794
深圳卫视,http://27.152.133.130:34567/rtp/239.61.4.134:1025
湖北卫视,http://27.152.133.130:34567/rtp/239.61.2.120:8714
湖北卫视,http://27.152.133.130:34567/rtp/239.61.4.36:1025
湖南卫视,http://27.152.133.130:34567/rtp/239.61.2.31:8180
湖南卫视,http://27.152.133.130:34567/rtp/239.61.4.31:1025
甘肃卫视,http://27.152.133.130:34567/rtp/239.61.2.225:9338
甘肃卫视,http://27.152.133.130:34567/rtp/239.61.5.111:1025
西藏卫视,http://27.152.133.130:34567/rtp/239.61.2.229:9362
西藏卫视,http://27.152.133.130:34567/rtp/239.61.5.115:1025
贵州卫视,http://27.152.133.130:34567/rtp/239.61.2.159:8942
贵州卫视,http://27.152.133.130:34567/rtp/239.61.5.46:1025
辽宁卫视,http://27.152.133.130:34567/rtp/239.61.2.181:9074
辽宁卫视,http://27.152.133.130:34567/rtp/239.61.5.68:1025$1080p
重庆卫视,http://27.152.133.130:34567/rtp/239.61.2.250:9488
重庆卫视,http://27.152.133.130:34567/rtp/239.61.5.159:1025
陕西卫视,http://27.152.133.130:34567/rtp/239.61.2.38:8222
陕西卫视,http://27.152.133.130:34567/rtp/239.61.4.40:1025
青海卫视,http://27.152.133.130:34567/rtp/239.61.2.60:8354
青海卫视,http://27.152.133.130:34567/rtp/239.61.4.62:1025
黑龙江卫视,http://27.152.133.130:34567/rtp/239.61.2.34:8198
黑龙江卫视,http://27.152.133.130:34567/rtp/239.61.4.34:1025
凤凰中文,http://27.152.133.130:34567/rtp/239.61.2.184:9092
凤凰中文,http://27.152.133.130:34567/rtp/239.61.5.48:1025
凤凰资讯,http://27.152.133.130:34567/rtp/239.61.2.183:9086
凤凰资讯,http://27.152.133.130:34567/rtp/239.61.5.47:1025
东方财经,http://27.152.133.130:34567/rtp/239.61.2.76:8450
东方购物,http://27.152.133.130:34567/rtp/239.61.4.174:1025
中华特产,http://27.152.133.130:34567/rtp/239.61.3.72:9950
中华特产,http://27.152.133.130:34567/rtp/239.61.4.179:1025
中国天气,http://27.152.133.130:34567/rtp/239.61.2.64:8378
中国天气,http://27.152.133.130:34567/rtp/239.61.4.66:1025
乐游,http://27.152.133.130:34567/rtp/239.61.2.147:8870
书画,http://27.152.133.130:34567/rtp/239.61.4.184:1025
书画,http://27.152.133.130:34567/rtp/239.61.4.199:1025
交通广播,http://27.152.133.130:34567/rtp/239.61.5.155:1025$1080p
优优宝贝,http://27.152.133.130:34567/rtp/239.61.3.70:9938
优优宝贝,http://27.152.133.130:34567/rtp/239.61.4.181:1025
优购物,http://27.152.133.130:34567/rtp/239.61.5.131:1025
党建,http://27.152.133.130:34567/rtp/239.61.5.57:1025
动漫秀场,http://27.152.133.130:34567/rtp/239.61.2.148:8876
哈哈炫动,http://27.152.133.130:34567/rtp/239.61.2.70:8414
嘉佳卡通,http://27.152.133.130:34567/rtp/239.61.2.72:8426
嘉佳卡通,http://27.152.133.130:34567/rtp/239.61.4.74:1025
四海钓鱼,http://27.152.133.130:34567/rtp/239.61.3.69:9932
